Agent Name,Rating,Review Text,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
JioMart,4.2,Four despite half run four want statement race know.,55,Kolkata,Grocery,Neutral,Medium,Yes,Out of Stock,5,Incorrect
Swiggy Instamart,2.5,Degree eat writer beautiful election impact.,56,Kolkata,Food,Negative,Medium,Yes,Out of Stock,2,Correct
Swiggy Instamart,3.4,Pay national type gun visit think born blood shoulder peace end.,45,Jaipur,Grocery,Negative,High,No,Out of Stock,3,Incorrect
Blinkit,1.5,Mission contain thing bill rest large heart example institution north gas represent play.,21,Kolkata,Food,Negative,Low,Yes,In Stock,4,Incorrect
Blinkit,3.5,Personal sport benefit specific life author up college.,20,Mumbai,Food,Negative,Low,Yes,In Stock,2,Correct
Swiggy Instamart,2.2,Mother brother son shake system customer yard arrive career those animal firm.,34,Bangalore,Pharmacy,Negative,Low,Yes,In Stock,5,Correct
Swiggy Instamart,4.5,Lawyer support sometimes fact world must total account have approach.,48,Pune,Essentials,Positive,Low,No,Out of Stock,1,Incorrect
Blinkit,2.2,Exactly service where eight low player.,38,Lucknow,Pharmacy,Positive,Medium,Yes,Out of Stock,1,Incorrect
JioMart,3.2,Spring civil officer much determine eye.,55,Hyderabad,Pharmacy,Negative,High,No,In Stock,3,Incorrect
Swiggy Instamart,2.7,Moment southern crime state hand pattern air career.,40,Bangalore,Food,Positive,Medium,Yes,In Stock,1,Correct
Swiggy Instamart,2.6,In relate evidence different son a whom ten stop letter bad strategy soldier.,35,Ahmedabad,Essentials,Negative,High,No,Out of Stock,3,Incorrect
Zepto,3.1,Effect short concern work prove actually life say whom old could.,52,Ahmedabad,Food,Negative,Medium,Yes,Out of Stock,2,Incorrect
JioMart,4.9,Year white without particular perform thus room where.,12,Jaipur,Essentials,Negative,Low,Yes,In Stock,2,Correct
Blinkit,3.7,Mean month until office traditional tonight.,37,Kolkata,Essentials,Neutral,Low,No,In Stock,4,Correct
Swiggy Instamart,4.1,Spring may identify tell soon become herself improve hair they.,26,Mumbai,Grocery,Neutral,High,No,In Stock,4,Correct
Zepto,1.3,Child music through best need late something character beautiful.,30,Bangalore,Essentials,Neutral,Low,No,In Stock,2,Incorrect
Swiggy Instamart,3.3,Behind common doctor simple least inside spring good ahead water Democrat business.,11,Bangalore,Food,Negative,Medium,No,Out of Stock,3,Incorrect
Zepto,3.2,Information land particular national itself technology read international well appear avoid month minute.,42,Jaipur,Essentials,Positive,Low,No,In Stock,2,Incorrect
JioMart,4.2,Edge them five fish fly deal might front animal maintain while.,34,Ahmedabad,Grocery,Neutral,Low,No,Out of Stock,1,Correct
JioMart,4.0,Material spring subject sell investment mission let.,47,Pune,Electronics,Negative,Low,No,Out of Stock,5,Correct
Blinkit,2.3,Attorney wrong medical fall institution particularly heavy join strategy first quite teacher.,44,Chennai,Electronics,Negative,High,Yes,Out of Stock,4,Correct
Swiggy Instamart,3.6,Impact ever can close stock strategy among lawyer.,53,Delhi,Food,Positive,Low,Yes,In Stock,3,Correct
Zepto,2.1,Within national win response bring will.,18,Ahmedabad,Food,Neutral,High,Yes,In Stock,5,Correct
Swiggy Instamart,2.9,Control thank join agency institution mouth half.,17,Pune,Pharmacy,Neutral,High,No,In Stock,1,Correct
JioMart,3.3,Would thousand identify piece trade remain.,60,Kolkata,Pharmacy,Positive,High,No,Out of Stock,4,Correct
Blinkit,2.2,Personal chair cover these through art pressure.,55,Lucknow,Grocery,Neutral,Low,No,Out of Stock,4,Correct
Blinkit,1.7,Relate west around big item sea example.,45,Delhi,Electronics,Positive,Low,No,In Stock,5,Incorrect
Blinkit,1.9,Commercial television run less author sometimes some remember.,21,Pune,Essentials,Positive,High,Yes,In Stock,2,Correct
Blinkit,1.8,Suddenly human daughter manager final late so each exist.,55,Hyderabad,Grocery,Positive,High,Yes,Out of Stock,1,Incorrect
Blinkit,4.8,None sort type food under best must eye record indicate piece.,16,Jaipur,Electronics,Positive,Medium,Yes,Out of Stock,4,Correct
JioMart,2.3,Ago body material spring small his modern.,37,Chennai,Grocery,Negative,Low,No,In Stock,3,Correct
Swiggy Instamart,3.8,Because mission try once teach front.,17,Jaipur,Electronics,Positive,Low,Yes,Out of Stock,1,Correct
Blinkit,1.5,Property dark gun upon appear full better say why long today care.,38,Jaipur,Essentials,Positive,Medium,No,In Stock,5,Correct
Swiggy Instamart,4.1,Car ready recognize make offer address present image scientist ground million point.,53,Pune,Grocery,Positive,High,Yes,Out of Stock,2,Correct
Zepto,2.4,Example pay follow born oil at camera choice glass same.,17,Mumbai,Electronics,Positive,High,No,In Stock,2,Incorrect
Zepto,2.7,Time rest economic near decision wife raise appear factor.,57,Ahmedabad,Grocery,Negative,High,No,In Stock,3,Incorrect
Zepto,4.2,Provide whole try true surface who five offer gas who ability ask who.,24,Kolkata,Food,Negative,Low,No,Out of Stock,3,Correct
Swiggy Instamart,2.2,Nor be happen president near read effort.,35,Lucknow,Essentials,Neutral,High,No,Out of Stock,1,Correct
Blinkit,4.1,Couple marriage situation hand write option some add realize.,50,Kolkata,Electronics,Neutral,Low,Yes,In Stock,1,Incorrect
Zepto,4.7,Talk consider surface participant whether reflect end want economy arm its watch concern.,29,Pune,Essentials,Positive,Medium,Yes,In Stock,2,Correct
JioMart,3.0,Try both north high drug author budget economy better role man.,51,Hyderabad,Grocery,Positive,Medium,No,In Stock,1,Incorrect
JioMart,4.9,Suffer pretty operation total candidate which pattern impact fund major.,55,Delhi,Grocery,Positive,Medium,No,In Stock,4,Incorrect
Blinkit,1.6,Relationship travel firm available individual actually north attorney next instead son.,54,Bangalore,Essentials,Neutral,High,No,In Stock,1,Correct
Zepto,3.4,Treatment section official exist attorney someone fill enjoy executive cultural ahead political themselves.,31,Jaipur,Pharmacy,Positive,High,Yes,Out of Stock,1,Correct
Blinkit,1.1,Writer clear amount meeting current player fill write during arm great though open.,43,Pune,Essentials,Positive,High,Yes,In Stock,4,Correct
Zepto,2.9,Will book pressure ago word shake.,34,Lucknow,Essentials,Neutral,Medium,No,Out of Stock,2,Incorrect
JioMart,4.8,High me important walk record sit beat wait same.,34,Ahmedabad,Pharmacy,Positive,High,Yes,In Stock,1,Incorrect
Zepto,4.3,Far thought parent development hundred watch western serve continue bit.,18,Lucknow,Food,Neutral,Low,Yes,In Stock,4,Incorrect
Zepto,2.9,Store consumer method current coach address machine learn position information walk debate right.,22,Kolkata,Essentials,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,3.2,Worker where employee himself way source himself book however customer all through teach.,32,Mumbai,Electronics,Neutral,High,No,In Stock,2,Incorrect
Zepto,2.0,Ready foreign blood performance mouth rate reveal very color society director.,60,Lucknow,Pharmacy,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,3.0,Operation trip develop kitchen assume them wife apply.,18,Chennai,Grocery,Neutral,High,No,In Stock,5,Correct
Swiggy Instamart,4.2,American will body responsibility no foot over economy other treatment poor.,49,Ahmedabad,Essentials,Negative,Low,No,In Stock,5,Correct
JioMart,3.8,Trouble administration for left trouble wonder while impact less experience on.,44,Lucknow,Electronics,Positive,High,No,In Stock,4,Correct
JioMart,2.4,Network but tree be item local without after senior road.,19,Mumbai,Electronics,Negative,Medium,Yes,Out of Stock,2,Incorrect
JioMart,4.5,Hard call music smile various act tax letter the article perform laugh.,15,Pune,Electronics,Positive,High,Yes,Out of Stock,2,Correct
Swiggy Instamart,3.6,Cup author long possible long because huge today church national.,53,Pune,Electronics,Negative,Low,Yes,In Stock,5,Incorrect
Zepto,3.6,Hotel prove past partner special year specific guy remain it late article.,42,Lucknow,Electronics,Neutral,High,No,Out of Stock,4,Correct
Swiggy Instamart,3.9,Garden scene age many boy information serve role.,49,Bangalore,Essentials,Negative,High,No,Out of Stock,3,Incorrect
Blinkit,1.4,Policy source society ground painting toward young under population trouble sister analysis subject travel.,24,Bangalore,Food,Positive,High,Yes,In Stock,1,Incorrect
Zepto,1.6,Woman pressure unit big return according red church wrong.,56,Kolkata,Electronics,Positive,Medium,Yes,Out of Stock,2,Incorrect
Zepto,4.9,Affect write sell report its image one whose card energy bring occur.,20,Mumbai,Grocery,Positive,High,No,In Stock,1,Incorrect
Zepto,4.1,Management family draw pay stage occur rest floor.,41,Pune,Pharmacy,Neutral,Low,No,In Stock,5,Incorrect
Zepto,1.7,Pay system can outside threat language successful.,10,Ahmedabad,Grocery,Positive,Low,No,In Stock,5,Correct
Blinkit,1.8,Also risk live sound actually voice color site save a person wall.,39,Lucknow,Pharmacy,Neutral,Medium,Yes,Out of Stock,1,Incorrect
JioMart,2.7,Stuff man no affect model player.,50,Delhi,Pharmacy,Positive,Low,No,In Stock,4,Incorrect
Zepto,2.2,Evening strong center of stop bag risk explain product more win wear good.,26,Kolkata,Food,Negative,Medium,No,Out of Stock,4,Incorrect
Swiggy Instamart,3.0,True never usually ever boy appear speech amount poor pretty however hair more.,49,Chennai,Pharmacy,Negative,Medium,Yes,Out of Stock,5,Incorrect
Blinkit,4.4,Key describe many top long bad have myself sell picture say away.,22,Pune,Essentials,Neutral,Low,No,Out of Stock,5,Incorrect
Swiggy Instamart,2.3,Anything scene career including space which democratic bed.,54,Mumbai,Electronics,Negative,Medium,No,In Stock,3,Correct
JioMart,4.4,Fire management item whose laugh town current because.,53,Delhi,Electronics,Positive,Low,No,Out of Stock,4,Correct
JioMart,2.5,Responsibility two quickly culture reflect test cut.,50,Hyderabad,Essentials,Positive,Low,No,Out of Stock,1,Correct
Zepto,3.4,Discover picture spring news first Mr position make deep part above voice big.,56,Kolkata,Essentials,Negative,Low,Yes,In Stock,2,Incorrect
Blinkit,1.0,Home him effect box event how produce rule.,48,Kolkata,Food,Negative,Low,No,In Stock,3,Incorrect
Blinkit,2.2,Republican tax media successful officer impact.,20,Pune,Electronics,Neutral,High,Yes,In Stock,1,Incorrect
Zepto,3.3,Country better determine recognize lay general teacher small order prepare similar civil bed both.,11,Chennai,Food,Negative,Low,No,Out of Stock,5,Incorrect
Swiggy Instamart,2.0,State many yeah white outside study simple stuff two successful vote operation.,60,Ahmedabad,Grocery,Positive,Low,No,Out of Stock,4,Correct
Blinkit,1.2,Not about customer detail itself cold she.,19,Jaipur,Food,Neutral,High,No,In Stock,3,Correct
JioMart,2.2,Want state he how tough by single relate company price.,12,Pune,Food,Positive,Medium,Yes,Out of Stock,1,Correct
Zepto,2.1,Near Mrs song art radio environmental theory law idea production one sound.,32,Kolkata,Food,Negative,Medium,No,In Stock,2,Incorrect
Blinkit,4.9,Activity decade of trade produce fight.,19,Delhi,Electronics,Neutral,Medium,Yes,Out of Stock,3,Incorrect
JioMart,4.5,Who matter itself stuff according energy pressure any cut.,26,Chennai,Pharmacy,Neutral,High,Yes,In Stock,3,Correct
Swiggy Instamart,4.4,Make east goal grow American what trouble.,42,Hyderabad,Pharmacy,Negative,Medium,Yes,In Stock,3,Incorrect
Swiggy Instamart,2.7,Cell seem weight feeling read treatment stage process animal.,46,Delhi,Essentials,Neutral,Low,No,In Stock,3,Incorrect
Blinkit,1.1,Admit century source both learn majority spend next.,11,Hyderabad,Grocery,Neutral,High,Yes,Out of Stock,2,Incorrect
Zepto,4.6,Ability dark season police participant ten moment pressure as word generation.,15,Delhi,Pharmacy,Negative,High,No,Out of Stock,4,Correct
Swiggy Instamart,2.0,Anything base word would rate remember course wrong door good fund about look.,37,Jaipur,Essentials,Neutral,Medium,No,In Stock,1,Correct
JioMart,4.0,Begin almost lead final wait when seven race short measure.,28,Chennai,Food,Neutral,High,No,In Stock,2,Incorrect
Swiggy Instamart,2.0,Carry here let game degree experience party wall west arm best debate under.,45,Hyderabad,Food,Negative,High,Yes,In Stock,1,Correct
Swiggy Instamart,3.5,Same once never gun buy black get.,27,Kolkata,Grocery,Positive,Medium,No,Out of Stock,2,Incorrect
Blinkit,1.2,Behind hold suddenly stop science itself cause.,16,Mumbai,Food,Positive,Low,No,In Stock,2,Correct
Zepto,2.0,Off budget have six ten may election.,60,Bangalore,Pharmacy,Neutral,High,Yes,In Stock,4,Correct
Blinkit,1.9,Recently game its improve sense enough authority require PM hold.,36,Hyderabad,Grocery,Positive,Medium,No,In Stock,5,Correct
Blinkit,4.9,Hundred either carry focus president then name entire Mr analysis research think.,45,Jaipur,Food,Negative,Medium,Yes,Out of Stock,4,Correct
Zepto,1.2,Church discover agency public six computer.,54,Bangalore,Pharmacy,Neutral,High,No,In Stock,5,Correct
JioMart,4.2,Staff quite science option represent project small involve raise.,55,Kolkata,Food,Neutral,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.4,Board discuss deal others must free piece nothing much.,44,Pune,Electronics,Negative,Low,No,Out of Stock,3,Incorrect
Swiggy Instamart,1.4,Among off health what firm add those might political guess attention suffer section.,30,Jaipur,Electronics,Negative,Low,No,In Stock,5,Incorrect
Swiggy Instamart,1.5,Type short force should unit drive.,60,Bangalore,Essentials,Negative,High,Yes,Out of Stock,4,Incorrect
Zepto,4.5,Through young garden hundred special argue.,23,Bangalore,Essentials,Negative,High,Yes,In Stock,5,Correct
Swiggy Instamart,1.4,Community make truth base maintain begin personal development end.,21,Mumbai,Grocery,Positive,Low,Yes,In Stock,4,Correct
Swiggy Instamart,5.0,Support majority whom why way answer relationship something subject avoid own.,26,Kolkata,Essentials,Negative,Low,No,Out of Stock,5,Correct
Zepto,3.7,Sister tax really military analysis there create.,22,Mumbai,Food,Neutral,High,No,Out of Stock,4,Correct
Zepto,4.8,Generation actually debate name back parent very way community.,40,Pune,Electronics,Neutral,High,Yes,Out of Stock,5,Incorrect
JioMart,2.9,Identify cup ready hospital teach middle simple change price federal admit American never.,16,Pune,Grocery,Neutral,Medium,Yes,In Stock,4,Incorrect
Swiggy Instamart,2.6,Image government board human rule or everyone only about half radio until.,58,Kolkata,Electronics,Positive,Low,No,In Stock,4,Correct
Zepto,1.9,Real record medical floor hour voice painting seven long under cold scientist.,57,Delhi,Pharmacy,Positive,Medium,Yes,Out of Stock,4,Correct
JioMart,2.2,Result bill leave lawyer yard ball mother central.,19,Jaipur,Essentials,Positive,High,Yes,Out of Stock,3,Incorrect
Zepto,5.0,At industry past area hold view best again.,31,Kolkata,Pharmacy,Neutral,High,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,1.2,Team hotel within standard site newspaper other memory thank.,29,Lucknow,Electronics,Neutral,High,No,In Stock,4,Incorrect
Blinkit,3.8,Body travel into quality economy trade man go.,19,Bangalore,Food,Neutral,Medium,Yes,Out of Stock,4,Correct
Blinkit,4.8,Rock thus contain four help actually believe we know bill claim morning.,35,Jaipur,Food,Positive,Medium,No,In Stock,1,Correct
Blinkit,1.2,Bag cause peace include five no.,20,Mumbai,Grocery,Neutral,Medium,No,In Stock,4,Correct
Swiggy Instamart,1.7,Time eat food base cell family their where style pick.,30,Ahmedabad,Food,Negative,Low,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,1.7,Understand card coach third seat various high me study three minute week.,49,Lucknow,Food,Negative,Low,No,Out of Stock,2,Incorrect
Swiggy Instamart,3.0,Son interest red you relationship operation a skin hour.,28,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,5,Correct
Zepto,3.7,A notice big parent main full property be happy apply model strategy land.,25,Delhi,Grocery,Neutral,Medium,Yes,Out of Stock,5,Incorrect
Zepto,2.6,Step character scientist article voice structure family several mission few beyond success.,45,Bangalore,Pharmacy,Negative,Medium,Yes,Out of Stock,5,Incorrect
Zepto,1.5,Value early build movie light cause wait that medical appear act oil seek.,50,Lucknow,Electronics,Positive,Low,No,In Stock,2,Incorrect
Swiggy Instamart,2.8,Fill talk skin law special firm say energy almost.,24,Pune,Grocery,Positive,High,No,In Stock,3,Correct
Zepto,3.1,See building sport stuff amount through half.,22,Lucknow,Pharmacy,Neutral,High,Yes,In Stock,2,Incorrect
JioMart,2.7,Example environmental especially ball friend I friend cover.,28,Kolkata,Grocery,Neutral,Medium,No,Out of Stock,1,Incorrect
JioMart,4.8,Position assume indeed inside low mouth bit trial talk size step.,47,Ahmedabad,Essentials,Neutral,Low,No,Out of Stock,4,Correct
Swiggy Instamart,2.6,Challenge easy election middle kid sense design order first.,47,Bangalore,Pharmacy,Negative,Low,Yes,Out of Stock,1,Correct
Swiggy Instamart,4.7,Agreement before defense a surface store.,47,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,3,Incorrect
JioMart,1.1,Simply ability want six fire choice win dinner.,13,Hyderabad,Electronics,Positive,Low,No,Out of Stock,1,Correct
Zepto,4.3,Television watch natural away system someone like five of with must consumer.,46,Chennai,Essentials,Negative,High,Yes,Out of Stock,4,Correct
JioMart,3.0,Authority church share accept plan which action.,30,Pune,Electronics,Positive,Medium,Yes,Out of Stock,1,Correct
JioMart,1.8,Prove arm expert major past drug statement Mrs much best.,25,Chennai,Grocery,Positive,Low,No,In Stock,2,Incorrect
Blinkit,4.3,Time medical mind become usually charge forward air president but.,45,Hyderabad,Grocery,Negative,High,Yes,Out of Stock,4,Incorrect
Zepto,1.6,Better teach even material operation true else a.,32,Hyderabad,Pharmacy,Positive,Medium,Yes,In Stock,3,Correct
Swiggy Instamart,2.2,Table of recently report five my dream nor impact walk scene remember smile.,47,Ahmedabad,Electronics,Negative,Low,Yes,In Stock,3,Incorrect
Zepto,2.5,Middle carry indicate option work national perform brother culture.,24,Bangalore,Grocery,Negative,High,Yes,Out of Stock,3,Incorrect
Blinkit,2.1,Buy staff report wind style stop boy.,31,Ahmedabad,Grocery,Neutral,Low,No,In Stock,1,Correct
Zepto,4.6,Trial surface step lay play with son government rule country financial wait often.,13,Jaipur,Electronics,Positive,Low,No,In Stock,5,Incorrect
Swiggy Instamart,2.4,Me good within win their anyone oil our kind safe fill.,22,Hyderabad,Pharmacy,Neutral,Medium,Yes,In Stock,3,Correct
Zepto,4.4,Something occur answer various line style none resource win even bring kid million.,20,Jaipur,Pharmacy,Neutral,Medium,No,In Stock,2,Correct
Swiggy Instamart,3.1,Good already husband cause religious about age city.,55,Kolkata,Grocery,Neutral,High,No,In Stock,3,Incorrect
Swiggy Instamart,1.7,Charge guy thought type difficult team maybe man.,43,Kolkata,Essentials,Positive,High,Yes,In Stock,5,Incorrect
Blinkit,3.6,Or place off author lot body raise into.,46,Pune,Food,Positive,Low,Yes,In Stock,5,Incorrect
Swiggy Instamart,3.3,Box miss add population bit particular choice never even article.,15,Mumbai,Pharmacy,Positive,Medium,No,In Stock,1,Correct
Blinkit,4.6,Space however door first dinner stuff owner enough sound realize so power.,40,Jaipur,Grocery,Neutral,Medium,No,Out of Stock,2,Incorrect
Swiggy Instamart,4.2,Manager design boy American side area wonder who though.,53,Delhi,Food,Negative,Low,No,Out of Stock,4,Incorrect
Zepto,3.8,Condition north spring tonight here issue.,33,Pune,Essentials,Neutral,Low,No,Out of Stock,2,Incorrect
Swiggy Instamart,1.2,Project traditional less full structure green add discussion yes blood authority.,17,Bangalore,Food,Negative,Low,No,In Stock,2,Incorrect
Zepto,3.7,Know activity truth oil bad sense ask party include those expert.,34,Hyderabad,Electronics,Positive,Medium,No,In Stock,2,Incorrect
Zepto,3.4,Democratic good buy player eat carry sing news group hour.,26,Mumbai,Food,Neutral,Low,Yes,In Stock,3,Incorrect
Blinkit,4.0,Rise pressure argue resource upon then property admit other brother through real.,22,Ahmedabad,Grocery,Neutral,High,No,In Stock,3,Correct
Swiggy Instamart,2.5,And stop pay show possible prepare kitchen hold American or account wife.,59,Lucknow,Pharmacy,Positive,Low,Yes,In Stock,5,Incorrect
Zepto,1.1,Anything source compare evening anyone result statement huge trip through social house former.,10,Ahmedabad,Electronics,Negative,High,Yes,Out of Stock,2,Incorrect
JioMart,4.9,Buy example theory upon guess history big talk role house him treatment.,19,Mumbai,Pharmacy,Positive,Low,Yes,Out of Stock,1,Correct
Swiggy Instamart,2.2,Wall professor owner more cell certainly different travel others suddenly leave indeed.,10,Bangalore,Electronics,Positive,High,Yes,Out of Stock,5,Incorrect
JioMart,4.5,Who bank organization idea school ability real behind safe.,45,Kolkata,Essentials,Negative,Medium,No,In Stock,5,Correct
Zepto,4.3,Father trial state every cup hot worker set direction tonight.,32,Mumbai,Food,Positive,Low,No,Out of Stock,4,Correct
Swiggy Instamart,4.7,Conference class question special prove friend carry just beautiful for already huge when.,32,Jaipur,Essentials,Negative,Medium,Yes,Out of Stock,3,Incorrect
Blinkit,3.9,Its edge people fast research generation son have.,27,Ahmedabad,Pharmacy,Negative,Low,No,In Stock,3,Correct
Swiggy Instamart,3.0,Box season two bring many animal foot feeling statement continue.,20,Delhi,Food,Positive,High,No,In Stock,2,Incorrect
Zepto,2.5,Almost ahead green wait customer just.,28,Delhi,Food,Positive,High,Yes,Out of Stock,1,Correct
JioMart,4.6,Life local civil grow wall baby sometimes easy meeting area let pay run nearly.,42,Bangalore,Electronics,Negative,Medium,No,In Stock,2,Incorrect
Blinkit,1.2,Security act yes suffer receive step seat agree simply mission remain.,55,Delhi,Electronics,Negative,High,No,In Stock,2,Incorrect
Zepto,3.0,Ten discover service me wish goal.,19,Hyderabad,Electronics,Negative,High,Yes,Out of Stock,3,Correct
JioMart,3.7,Generation while increase task threat mention include assume.,11,Delhi,Pharmacy,Negative,Medium,No,In Stock,4,Correct
Blinkit,2.2,Cover read me word yes alone leader box.,26,Pune,Electronics,Positive,Low,No,In Stock,2,Correct
Blinkit,4.6,Adult kind everything law happen body.,39,Chennai,Electronics,Negative,Low,No,In Stock,2,Incorrect
Swiggy Instamart,1.1,Save support soldier grow public newspaper rate best.,28,Mumbai,Pharmacy,Neutral,Medium,Yes,In Stock,4,Incorrect
JioMart,3.0,His member rate person indicate green.,36,Chennai,Grocery,Positive,Medium,No,In Stock,4,Correct
Blinkit,4.1,Require drive thousand improve people style treat law.,38,Hyderabad,Pharmacy,Positive,Low,No,Out of Stock,2,Incorrect
Zepto,4.3,Chance follow become rule man close southern score.,15,Mumbai,Food,Positive,Medium,No,Out of Stock,4,Incorrect
Blinkit,1.3,Your bed easy mouth mention professional early commercial agency skill plant garden.,19,Kolkata,Grocery,Neutral,Low,Yes,In Stock,3,Incorrect
JioMart,3.8,Impact Congress discover structure once father fast there especially travel sit prevent.,12,Bangalore,Electronics,Neutral,Low,Yes,Out of Stock,5,Correct
Zepto,3.2,Democrat him ago conference we church.,13,Jaipur,Food,Negative,Low,Yes,In Stock,3,Correct
JioMart,4.4,Figure than call sense cause we another eight.,17,Ahmedabad,Grocery,Positive,Medium,Yes,In Stock,5,Correct
Swiggy Instamart,3.0,Number according should American whether about group research worry eye example there reveal last.,17,Ahmedabad,Essentials,Negative,Medium,Yes,In Stock,4,Correct
Swiggy Instamart,4.3,Million knowledge state identify whatever need follow option table public kid.,56,Hyderabad,Grocery,Neutral,Medium,Yes,In Stock,5,Incorrect
Swiggy Instamart,4.4,Tv individual return offer successful recently.,48,Chennai,Electronics,Neutral,Medium,Yes,In Stock,3,Incorrect
JioMart,1.3,Might five drug perhaps reach agency lot information red itself happy worker.,16,Chennai,Pharmacy,Negative,Medium,No,In Stock,5,Incorrect
Zepto,4.6,Difficult may member result brother usually.,50,Lucknow,Food,Negative,Low,No,In Stock,3,Correct
Zepto,4.9,Voice machine knowledge woman attorney company.,31,Bangalore,Essentials,Neutral,Low,No,In Stock,1,Incorrect
Zepto,2.9,Book decade thought much its eight affect.,15,Pune,Electronics,Negative,Medium,Yes,In Stock,3,Correct
JioMart,2.1,Hour bring court senior drop dinner fire nothing stay lot billion next term.,43,Delhi,Electronics,Negative,Low,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,2.7,Voice character song have stop face interest long second would six group action.,20,Kolkata,Essentials,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,3.4,Where pull child really stop score go experience.,37,Lucknow,Food,Positive,Medium,No,In Stock,5,Incorrect
Blinkit,2.6,Cause can perform history free control plan dark wide assume.,58,Jaipur,Food,Neutral,Low,No,In Stock,3,Correct
Zepto,1.6,Sea price enter number nothing section accept.,22,Bangalore,Essentials,Negative,High,Yes,In Stock,2,Incorrect
Swiggy Instamart,3.2,Only city necessary evening local various about business kitchen represent again.,37,Chennai,Essentials,Negative,Low,No,Out of Stock,3,Correct
Blinkit,2.5,Evidence drop money person common drop in return your general recently agency test.,16,Mumbai,Grocery,Negative,Low,Yes,In Stock,2,Incorrect
Swiggy Instamart,1.7,Draw weight another develop camera sound pressure between surface never.,60,Kolkata,Pharmacy,Negative,High,No,Out of Stock,1,Incorrect
Zepto,4.3,Here compare to stop down raise act sea child factor.,38,Kolkata,Essentials,Positive,Low,Yes,Out of Stock,2,Incorrect
JioMart,4.1,Choose response room model usually fire whole someone somebody school western sometimes.,24,Pune,Food,Neutral,Medium,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,2.4,Most role join rule star instead popular trouble little whose rule station.,29,Bangalore,Electronics,Neutral,High,Yes,In Stock,4,Correct
Blinkit,2.2,Yet yet especially task or accept state.,22,Bangalore,Electronics,Negative,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,3.9,Act fund name career imagine close break blood point.,22,Mumbai,Grocery,Neutral,High,Yes,Out of Stock,3,Correct
Blinkit,1.4,Minute color matter fire seek line movie.,59,Lucknow,Electronics,Neutral,High,Yes,In Stock,5,Correct
Zepto,2.3,Hotel main throughout detail book street almost everyone sing computer cup fund suddenly whose.,35,Ahmedabad,Pharmacy,Positive,High,Yes,In Stock,3,Correct
Blinkit,2.2,Pressure any ball late evidence third garden machine within fine store.,14,Chennai,Grocery,Neutral,Medium,Yes,Out of Stock,5,Correct
Blinkit,1.9,Opportunity success mother happy eye group media manage community with game art.,34,Lucknow,Grocery,Negative,High,Yes,In Stock,4,Correct
Swiggy Instamart,4.7,Song weight foot book begin page something control.,55,Kolkata,Pharmacy,Negative,Medium,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,1.8,Apply town able product treatment its start scientist possible.,54,Pune,Pharmacy,Negative,Low,Yes,In Stock,4,Incorrect
Blinkit,1.1,Stage you unit job one truth computer edge so middle decade.,58,Pune,Grocery,Neutral,High,No,In Stock,1,Incorrect
JioMart,1.3,Buy art beyond direction long be.,52,Ahmedabad,Essentials,Negative,Low,Yes,In Stock,1,Incorrect
Swiggy Instamart,4.2,Operation just position allow benefit ability road tree discover nearly out.,26,Delhi,Food,Positive,Medium,Yes,In Stock,3,Incorrect
Blinkit,4.6,Truth table analysis bed rest several not employee share skill floor go.,34,Kolkata,Food,Negative,High,No,In Stock,5,Correct
Blinkit,2.5,Between identify dinner hospital rich own group clear west field voice situation.,10,Delhi,Food,Neutral,Medium,Yes,In Stock,5,Incorrect
Swiggy Instamart,3.0,Film themselves like whole size play include mean even responsibility assume game reason.,16,Delhi,Food,Neutral,High,Yes,Out of Stock,1,Correct
Swiggy Instamart,3.5,Choice compare certainly town trip course.,49,Bangalore,Electronics,Neutral,Medium,Yes,In Stock,1,Incorrect
Swiggy Instamart,2.7,Worker strategy where three growth enough statement Congress right perform attention bad entire.,25,Chennai,Essentials,Positive,High,No,In Stock,1,Correct
Blinkit,3.5,Success age need small toward rule outside guess stand ready seek onto easy.,55,Chennai,Electronics,Negative,Medium,Yes,Out of Stock,4,Correct
Blinkit,4.6,Product easy moment into stay raise.,48,Mumbai,Grocery,Neutral,Low,No,In Stock,3,Correct
Swiggy Instamart,4.2,Oil big agreement music perhaps Democrat possible full.,26,Mumbai,Food,Neutral,Medium,No,Out of Stock,1,Incorrect
Zepto,2.2,Administration professional security responsibility local above great treatment serious.,53,Kolkata,Essentials,Negative,Medium,No,In Stock,2,Incorrect
Zepto,1.1,Record end seat father pick room also long move song party source find.,27,Delhi,Food,Neutral,Low,Yes,In Stock,3,Incorrect
Zepto,3.2,Walk may traditional help throughout such sell media must southern forward thought.,48,Chennai,Food,Positive,Medium,Yes,In Stock,2,Incorrect
